Feature,Fisher_Score,Mutual_Info
Hjorth_Mobility_Fp1,2.9470400221977746,0.6285060675827687
Hjorth_Mobility_F8,2.8238429884785696,0.6285060675827687
Hjorth_Mobility_Cz,2.663207010479466,0.6285060675827687
Hjorth_Mobility_Fz,2.629011605991812,0.6285060675827687
Hjorth_Mobility_PO10,2.6124195129228562,0.6285060675827687
Hjorth_Mobility_P4,2.60709471336654,0.6285060675827687
Hjorth_Mobility_FT10,2.5043231804969954,0.6285060675827687
Hjorth_Mobility_F7,2.499077342588325,0.6285060675827687
Hjorth_Mobility_F4,2.4605951894913947,0.6285060675827687
Hjorth_Mobility_CP2,2.4561800172107984,0.6285060675827687
Hjorth_Mobility_P7,2.4355048127595675,0.6285060675827687
Hjorth_Mobility_Fp2,2.4175766457722774,0.6285060675827687
Hjorth_Complexity_Fp1,2.405474088684489,0.6285060675827687
Hjorth_Mobility_FC2,2.394498387867711,0.6285060675827687
Hjorth_Mobility_CP6,2.363875849762241,0.6285060675827687
Hjorth_Mobility_O1,2.347276823778761,0.6285060675827687
Hjorth_Mobility_P8,2.320481369250305,0.6285060675827687
Hjorth_Complexity_F8,2.304835667359458,0.6285060675827687
Hjorth_Mobility_PO9,2.279267389363283,0.6285060675827687
Hjorth_Mobility_T8,2.260818581753914,0.6285060675827687
Hjorth_Mobility_P3,2.253329105174772,0.6285060675827687
Hjorth_Mobility_C4,2.181788683650148,0.6285060675827687
Hjorth_Complexity_PO10,2.1602160321651125,0.6285060675827687
Hjorth_Complexity_Cz,2.157649506932429,0.6285060675827687
Hjorth_Mobility_O2,2.1369403633476622,0.6285060675827687
Hjorth_Complexity_Fz,2.098025757132367,0.6285060675827687
Hjorth_Complexity_F7,2.0963651840275395,0.6285060675827687
Hjorth_Complexity_P4,2.078715574334129,0.6285060675827687
Hjorth_Complexity_P7,2.06312811968136,0.6285060675827687
Hjorth_Complexity_FT10,2.0493483372513657,0.6285060675827687
Hjorth_Complexity_O1,2.0458998582232106,0.6285060675827687
Hjorth_Mobility_CP5,2.0289402630288156,0.6285060675827687
Hjorth_Complexity_PO9,2.02503534178713,0.6285060675827687
Hjorth_Complexity_CP2,1.973733749930105,0.6285060675827687
Hjorth_Mobility_CP1,1.9545862024458687,0.6285060675827687
Hjorth_Complexity_F4,1.9516784502177302,0.6285060675827687
Hjorth_Mobility_FC6,1.9491306166721583,0.6285060675827687
Hjorth_Complexity_CP6,1.9431293412624924,0.6285060675827687
Hjorth_Complexity_Fp2,1.9415868531694904,0.6285060675827687
Hjorth_Complexity_FC2,1.89948363827714,0.6285060675827687
Hjorth_Complexity_P8,1.8856534408135515,0.6285060675827687
Hjorth_Complexity_T8,1.8798305292755229,0.6285060675827687
Hjorth_Mobility_FC1,1.855167936957414,0.6285060675827687
Hjorth_Complexity_O2,1.8546832410121932,0.6285060675827687
Hjorth_Mobility_F3,1.841755594233341,0.6285060675827687
Hjorth_Complexity_P3,1.8328671855255323,0.6285060675827687
Hjorth_Mobility_Oz,1.8284982097607236,0.6285060675827687
Hjorth_Mobility_Pz,1.7841944214643937,0.6285060675827687
Hjorth_Complexity_C4,1.7307895335333934,0.6285060675827687
Hjorth_Mobility_C3,1.719436178107516,0.6285060675827687
Hjorth_Mobility_FT9,1.7134597074081284,0.6285060675827687
Hjorth_Complexity_CP5,1.6972735308668216,0.6285060675827687
Hjorth_Mobility_T7,1.6930408393362877,0.6285060675827687
Hjorth_Mobility_FC5,1.612586557752869,0.6285060675827687
Hjorth_Complexity_Oz,1.5912560110511549,0.6285060675827687
Hjorth_Complexity_FC6,1.5706640203365938,0.6285060675827687
Hjorth_Complexity_Pz,1.5459565634424253,0.6285060675827687
Hjorth_Complexity_CP1,1.5453277106081873,0.6285060675827687
Hjorth_Complexity_F3,1.5312455666727718,0.6285060675827687
Hjorth_Complexity_FT9,1.5067998473965674,0.6285060675827687
Hjorth_Complexity_T7,1.5004455476621719,0.6285060675827687
Hjorth_Complexity_FC1,1.4982843065194575,0.6285060675827687
Hjorth_Complexity_C3,1.390632438097286,0.6285060675827687
Hjorth_Complexity_FC5,1.3689304848441035,0.6285060675827687
Fractal_Higuchi_Fp2,0.07221378183965739,0.0027643039896045885
Frequency_Gamma_Fp2,0.06383659958462196,0.02945789331706461
Frequency_Gamma_C4,0.05656973697068011,0.001055268686629196
Fractal_Higuchi_Fp1,0.050406496940206685,0.006795047003322674
Frequency_Delta_CP5,0.044934342268945736,0.0024935749151040465
Fractal_Katz_Fp2,0.043944088908388815,0.02743560732383621
Frequency_Delta_PO9,0.039484738901854534,0.008157659263706707
Frequency_Delta_O1,0.036669724878104513,0.0030243976276380646
Frequency_Alpha_O2,0.032419023564535535,0.0
Frequency_Alpha_CP6,0.03107094207315631,0.020678234789064387
Frequency_Theta_F8,0.029955748034595737,0.009164865812403056
Fractal_Higuchi_Oz,0.02924671423495184,0.00024807868258203136
Fractal_Higuchi_P7,0.027625458189542543,0.018984165385771412
Frequency_Alpha_F7,0.02664665355530805,0.0008436305504191388
Frequency_Beta_CP1,0.026505973739257914,0.00841163575302728
Fractal_Higuchi_Pz,0.02642591368541977,0.007526489440478512
Frequency_Alpha_FC2,0.026329623478073515,0.007415605198191955
Fractal_Higuchi_F7,0.026313980901185717,0.01646610093776868
Frequency_Gamma_F8,0.025784990445128178,0.0011777324895196895
Frequency_Delta_FC1,0.025671500164722704,0.009283707786507112
Frequency_Beta_C3,0.025625911888564,0.01618103668615878
Fractal_Higuchi_PO9,0.02485853208868667,0.010391268923262809
